Timestamp,Flex Value,Leaning Angle,Posture Status,MPU Angle
2026-06-27T11:38:33.522360,3277,90,0,86.07
2026-06-27T11:38:33.718104,3276,90,0,86.79
2026-06-27T11:38:33.964440,3275,90,0,86.81
2026-06-27T11:38:34.158716,3274,90,0,86.84
2026-06-27T11:38:34.358996,3274,90,0,86.35
2026-06-27T11:38:34.548020,3260,90,0,86.57
2026-06-27T11:38:34.743484,3277,90,0,86.37
2026-06-27T11:38:34.938609,3279,90,0,86.73
2026-06-27T11:38:35.134833,3274,90,0,86.37
2026-06-27T11:38:35.382874,3261,90,0,87.12
2026-06-27T11:38:35.572098,3275,90,0,86.88
2026-06-27T11:38:35.767276,3276,90,0,86.88
2026-06-27T11:38:35.962487,3278,90,0,85.87
2026-06-27T11:38:36.157961,3274,90,0,86.55
2026-06-27T11:38:36.351573,3273,90,0,86.90
2026-06-27T11:38:36.546700,3277,90,0,87.12
2026-06-27T11:38:36.803019,3274,90,0,86.79
2026-06-27T11:38:36.985119,3264,90,0,86.42
2026-06-27T11:38:37.181834,3277,90,0,86.62
2026-06-27T11:38:37.380278,3163,90,0,87.01
2026-06-27T11:38:37.570561,3273,90,0,86.22
2026-06-27T11:38:37.766480,3275,90,0,86.66
2026-06-27T11:38:37.960712,3273,90,0,86.59
2026-06-27T11:38:38.257102,3288,90,0,86.99
2026-06-27T11:38:38.401726,3216,90,0,86.18
2026-06-27T11:38:38.594594,3276,90,0,86.26
2026-06-27T11:38:38.789155,3310,90,0,86.18
2026-06-27T11:38:38.984787,3274,90,0,86.35
2026-06-27T11:38:39.180556,3275,90,0,86.33
2026-06-27T11:38:39.433364,3275,90,0,86.66
2026-06-27T11:38:39.621413,3272,90,0,86.86
2026-06-27T11:38:39.817731,3273,90,0,86.99
2026-06-27T11:38:40.008088,3273,90,0,86.90
2026-06-27T11:38:40.204591,3274,90,0,86.29
2026-06-27T11:38:40.400158,3292,90,0,86.64
2026-06-27T11:38:40.643278,3272,90,0,86.15
2026-06-27T11:38:40.836875,3273,90,0,86.18
2026-06-27T11:38:41.032703,3272,90,0,86.37
2026-06-27T11:38:41.227055,3289,90,0,87.36
2026-06-27T11:38:41.422955,3262,90,0,85.98
2026-06-27T11:38:41.616856,3273,90,0,86.66
2026-06-27T11:38:41.861350,3275,90,0,85.43
2026-06-27T11:38:42.057046,3276,90,0,86.53
2026-06-27T11:38:42.250925,3273,90,0,87.43
2026-06-27T11:38:42.455664,3274,90,0,87.76
2026-06-27T11:38:42.643036,3274,90,0,85.74
2026-06-27T11:38:42.837405,3272,90,0,84.70
2026-06-27T11:38:43.031037,3275,90,0,85.80
2026-06-27T11:38:43.281362,3275,90,0,86.44
2026-06-27T11:38:43.469758,3277,90,0,87.08
2026-06-27T11:38:43.665475,3275,90,0,85.67
2026-06-27T11:38:43.860125,3277,90,0,86.13
2026-06-27T11:38:44.054995,3279,90,0,86.42
2026-06-27T11:38:44.249499,3277,90,0,86.81
2026-06-27T11:38:44.450881,3307,90,0,86.22
2026-06-27T11:38:44.688937,3276,90,0,86.29
2026-06-27T11:38:44.883648,3276,90,0,86.57
2026-06-27T11:38:45.079238,3277,90,0,86.64
2026-06-27T11:38:45.273480,3276,90,0,86.09
2026-06-27T11:38:45.475114,3278,90,0,86.33
2026-06-27T11:38:45.663222,3277,90,0,86.66
2026-06-27T11:38:45.858998,3276,90,0,87.23
2026-06-27T11:38:46.128513,3277,90,0,86.70
2026-06-27T11:38:46.298198,3276,90,0,86.35
2026-06-27T11:38:46.495574,3275,90,0,85.65
2026-06-27T11:38:46.743757,3264,90,0,86.42
2026-06-27T11:38:46.882259,3272,90,0,86.22
2026-06-27T11:38:47.077815,3272,90,0,86.31
2026-06-27T11:38:47.332691,3287,90,0,86.26
2026-06-27T11:38:47.516478,3272,90,0,86.07
2026-06-27T11:38:47.711748,3271,90,0,86.77
2026-06-27T11:38:47.906627,3272,90,0,86.84
2026-06-27T11:38:48.101956,3275,90,0,86.15
2026-06-27T11:38:48.296892,3273,90,0,86.64
2026-06-27T11:38:48.558372,3273,90,0,86.57
2026-06-27T11:38:48.733891,3273,90,0,86.35
2026-06-27T11:38:48.928980,3278,90,0,86.33
2026-06-27T11:38:49.124927,3263,90,0,86.29
2026-06-27T11:38:49.324875,3291,90,0,86.09
2026-06-27T11:38:49.516473,3272,90,0,86.86
2026-06-27T11:38:49.713856,3262,90,0,86.46
2026-06-27T11:38:49.953671,3328,90,0,86.15
2026-06-27T11:38:50.150341,3258,90,0,86.07
2026-06-27T11:38:50.367452,3270,90,0,86.57
2026-06-27T11:38:50.541875,3272,90,0,86.31
2026-06-27T11:38:50.734473,3274,90,0,86.73
2026-06-27T11:38:50.928816,3182,90,0,86.37
2026-06-27T11:38:51.173342,3275,90,0,86.07
2026-06-27T11:38:51.368030,3272,90,0,86.26
2026-06-27T11:38:51.562100,3244,90,0,86.51
2026-06-27T11:38:51.758905,3263,90,0,86.11
2026-06-27T11:38:51.951669,3262,90,0,86.09
2026-06-27T11:38:52.147870,3261,90,0,86.59
2026-06-27T11:38:52.390676,3260,90,0,87.12
2026-06-27T11:38:52.586391,3261,90,0,86.81
2026-06-27T11:38:52.781655,3260,90,0,86.86
2026-06-27T11:38:52.976038,3261,90,0,86.55
2026-06-27T11:38:53.171196,3271,90,0,87.52
2026-06-27T11:38:53.366270,3262,90,0,86.13
2026-06-27T11:38:53.561291,3272,90,0,86.42
2026-06-27T11:38:53.807867,3272,90,0,86.59
2026-06-27T11:38:54.000672,3272,90,0,86.68
2026-06-27T11:38:54.194731,3271,90,0,87.14
2026-06-27T11:38:54.401004,3273,90,0,86.70
