Timestamp,Flex Value,Leaning Angle,Posture Status,MPU Angle
2026-06-27T11:36:46.822673,3146,9,0,88.46
2026-06-27T11:36:47.009866,3118,17,0,88.09
2026-06-27T11:36:47.496906,3146,24,0,87.50
2026-06-27T11:36:47.500420,3146,31,0,88.42
2026-06-27T11:36:47.693796,3144,37,0,88.55
2026-06-27T11:36:47.839044,3146,42,0,87.87
2026-06-27T11:36:48.041024,3146,47,0,88.24
2026-06-27T11:36:48.232438,3149,51,0,88.48
2026-06-27T11:36:48.420945,3148,55,0,88.48
2026-06-27T11:36:48.616188,3147,59,0,88.33
2026-06-27T11:36:48.857812,3147,62,0,88.00
2026-06-27T11:36:49.052290,3149,65,0,88.13
2026-06-27T11:36:49.259994,3145,67,0,88.26
2026-06-27T11:36:49.472706,3146,69,0,89.34
2026-06-27T11:36:49.651638,3147,71,0,88.40
2026-06-27T11:36:49.843063,3148,73,0,88.62
2026-06-27T11:36:50.036968,3149,75,0,88.79
2026-06-27T11:36:50.274765,3145,76,0,88.31
2026-06-27T11:36:50.483947,3146,78,0,88.84
2026-06-27T11:36:50.662584,3147,79,0,88.42
2026-06-27T11:36:50.891086,3151,80,0,88.13
2026-06-27T11:36:51.052058,3134,81,0,88.79
2026-06-27T11:36:51.247985,3147,82,0,88.09
2026-06-27T11:36:51.500801,3145,83,0,88.64
2026-06-27T11:36:51.685911,3145,84,0,88.75
2026-06-27T11:36:51.879450,3149,84,0,88.11
2026-06-27T11:36:52.091123,3149,85,0,88.00
2026-06-27T11:36:52.280597,3147,85,0,88.90
2026-06-27T11:36:52.513741,3147,86,0,87.93
2026-06-27T11:36:52.669345,3161,86,0,88.88
2026-06-27T11:36:52.908476,3147,87,0,88.59
2026-06-27T11:36:53.134530,3163,87,0,88.02
2026-06-27T11:36:53.293670,3146,87,0,88.86
2026-06-27T11:36:53.538239,3146,87,0,88.24
2026-06-27T11:36:53.702709,3145,88,0,88.13
2026-06-27T11:36:53.891106,3145,88,0,88.18
2026-06-27T11:36:54.074997,3145,88,0,88.57
2026-06-27T11:36:54.376261,3132,88,0,88.22
2026-06-27T11:36:54.562928,3145,89,0,88.11
2026-06-27T11:36:54.710962,3149,89,0,88.37
2026-06-27T11:36:54.902837,3144,89,0,88.44
2026-06-27T11:36:55.098218,3146,89,0,88.31
2026-06-27T11:36:55.397772,3147,89,0,88.75
2026-06-27T11:36:55.538126,3146,89,0,88.64
2026-06-27T11:36:55.732286,3146,89,0,88.13
2026-06-27T11:36:55.932078,3151,89,0,88.22
2026-06-27T11:36:56.122656,3148,89,0,87.89
2026-06-27T11:36:56.351211,3146,89,0,88.42
2026-06-27T11:36:56.521896,3146,89,0,88.73
2026-06-27T11:36:56.707661,3145,90,0,87.63
2026-06-27T11:36:56.964107,3145,90,0,88.51
2026-06-27T11:36:57.164357,3228,90,0,88.00
2026-06-27T11:36:57.398901,3145,90,0,88.44
2026-06-27T11:36:57.543633,3146,90,0,88.20
2026-06-27T11:36:57.730865,3145,90,0,88.66
2026-06-27T11:36:57.925476,3146,90,0,88.26
2026-06-27T11:36:58.169348,3146,90,0,88.22
2026-06-27T11:36:58.365018,3149,90,0,88.88
2026-06-27T11:36:58.569821,3144,90,0,88.46
2026-06-27T11:36:58.756716,3145,90,0,88.31
2026-06-27T11:36:58.950686,3147,90,0,89.19
2026-06-27T11:36:59.145678,3143,90,0,88.37
2026-06-27T11:36:59.389188,3146,90,0,88.92
2026-06-27T11:36:59.583555,3146,90,0,89.93
2026-06-27T11:36:59.779374,3163,90,0,88.35
2026-06-27T11:36:59.974277,3147,90,0,88.84
2026-06-27T11:37:00.169851,3146,90,0,89.45
2026-06-27T11:37:00.364634,3146,90,0,88.53
2026-06-27T11:37:00.559066,3146,90,0,88.48
2026-06-27T11:37:00.813839,3146,90,0,88.73
2026-06-27T11:37:01.008730,3144,90,0,88.35
2026-06-27T11:37:01.198334,3150,90,0,88.77
2026-06-27T11:37:01.402464,3146,90,0,88.70
2026-06-27T11:37:01.595774,3146,90,0,88.44
2026-06-27T11:37:01.794107,3146,90,0,88.33
2026-06-27T11:37:02.030558,3145,90,0,88.29
2026-06-27T11:37:02.246699,3150,90,0,88.75
2026-06-27T11:37:02.411247,3130,90,0,88.77
2026-06-27T11:37:02.606581,3133,90,0,88.37
2026-06-27T11:37:02.801028,3148,90,0,88.29
2026-06-27T11:37:02.996738,3148,90,0,88.88
2026-06-27T11:37:03.191885,3131,90,0,89.23
2026-06-27T11:37:03.456066,3148,90,0,88.22
2026-06-27T11:37:03.638665,3148,90,0,88.53
2026-06-27T11:37:03.827741,3145,90,0,87.98
2026-06-27T11:37:04.019964,3145,90,0,88.46
2026-06-27T11:37:04.215558,3147,90,0,88.13
2026-06-27T11:37:04.425878,3166,90,0,88.53
2026-06-27T11:37:04.615963,3146,90,0,88.42
2026-06-27T11:37:04.850567,3145,90,0,88.81
2026-06-27T11:37:05.054060,3147,90,0,87.78
2026-06-27T11:37:05.237921,3182,90,0,88.92
2026-06-27T11:37:05.434400,3148,90,0,88.64
2026-06-27T11:37:05.628907,3149,90,0,88.48
2026-06-27T11:37:05.831325,3144,90,0,88.42
2026-06-27T11:37:06.070717,3146,90,0,88.40
2026-06-27T11:37:06.262631,3146,90,0,88.48
2026-06-27T11:37:06.458983,3145,90,0,88.57
2026-06-27T11:37:06.655927,3160,90,0,89.34
2026-06-27T11:37:06.847955,3147,90,0,88.26
2026-06-27T11:37:07.043025,3147,90,0,87.98
2026-06-27T11:37:07.401521,3146,90,0,89.03
2026-06-27T11:37:07.496624,3145,90,0,87.80
2026-06-27T11:37:07.682756,3146,90,0,88.73
